contact_id,name,email,phone,account,region,deal_value,stage,last_activity,owner
CON-00112,Michael Jensen,william96@example.net,,Blankenship-Reynolds,APAC,248388.18,Prospect,2025-12-20,Emily Elliott
CON-00113,Brett Graham,theresa95@example.com,0643359616023,"Diaz, Hall and Perry",South,460338.46,Qualified,2026-02-02,Emily Howard
CON-00114,Victoria Chen,kurtgarrett@example.org,6190618043763,Harris Inc,East,378182.37,Proposal,2024-10-22,Johnny Gray
CON-00115,Dr. Matthew Avila,david14@example.com,5119732581050,Becker LLC,APAC,188439.98,Closed Lost,2024-10-20,Kimberly Mitchell
CON-00116,Mr. Kevin Novak,jennifer57@example.org,9402430017395,Larson-Scott,North,285020.06,Closed Lost,2025-04-23,Kari Clark
CON-00117,Joshua Diaz,wvaughn@example.org,6157408040092,Jenkins Inc,East,133315.97,Qualified,2026-02-18,Dawn Hamilton
CON-00118,Daniel Rogers,dkeller@example.org,3627478047821,Torres-Johnson,West,457387.91,Proposal,2025-03-09,Adrian Hill
CON-00119,Miranda Harding,fordgregory@example.org,2149816531152,Hughes Group,APAC,143832.24,Prospect,2026-03-15,Michael Harrison
CON-00120,Scott Morales,ygilmore@example.com,7370176168807,"Kennedy, Gordon and Ward",East,44139.76,Qualified,2024-05-18,Elizabeth Baker
CON-00121,Susan Coleman,guzmananne@example.org,3979528937898,Grimes-Wells,East,209869.01,Proposal,2026-01-06,Sharon Sims
CON-00122,Christina Miller,blackmichelle@example.com,0863663519564,Spence Group,South,298482.07,Proposal,2025-11-07,Tommy Dixon
CON-00123,Melissa Pena,keithrussell@example.org,7175891124496,"Davis, Barnes and Reid",APAC,271742.83,closed won,2026-02-09,Paula Marsh
CON-00124,Randall Chapman,scarpenter@example.com,8227717284257,"Smith, Turner and Lucero",South,133663.76,Prospect,2025-07-17,Chelsea White
CON-00125,Christine Orr,carolsmith@example.net,6371277058608,Scott-Lowery,South,39776.41,Closed Lost,2026-02-11,Erik Hunt
CON-00126,William Orr,ttyler@example.com,7882557596165,Pierce Inc,East,222215.77,Proposal,2025-09-22,Antonio Harris
CON-00127,Thomas Carey,johnsonmatthew@example.org,3590677421664,Shaw-Parker,South,28410.07,Closed Won,2025-09-15,Christopher Rodriguez
CON-00128,Ian Brown,robert36@example.com,2293812592555,Heath Inc,East,108812.23,Qualified,2025-03-22,Lacey Butler
CON-00129,Andrew Hughes,tiffany86@example.org,6773857707924,"Carter, Oneal and West",West,467264.35,Proposal,2025-01-30,Joseph Newton
CON-00130,Alexander Montoya,salasdawn@example.org,2111907202388,Cooper PLC,South,143053.55,Prospect,2024-10-20,Paul Tapia
CON-00131,Luis Brooks,woodardcameron@example.org,5728941854497,Smith Ltd,East,155570.61,Closed Lost,2025-08-25,James Lane
CON-00132,Christian Hancock,ymckay@example.com,8382830713450,Lane-Molina,South,182845.39,Closed Lost,2025-11-14,Susan Schwartz
CON-00133,Brittney Gregory,jennifer48@example.org,4100298957396,Carrillo-Jones,South,382559.01,Prospect,2025-01-13,Meghan Cardenas
CON-00134,Katherine Sampson,adamsrussell@example.com,1470130825659,"Shah, Parker and Brown",East,439772.58,Closed Lost,2024-10-04,Thomas Hendrix
CON-00135,Lance Johnson,deniseramirez@example.com,4248045202708,Williams-Baker,West,50652.65,Prospect,2025-03-08,Thomas Marshall
CON-00136,Andre Coleman,gonzalesbrian@example.com,6224102557699,"Evans, Ross and Collins",East,272367.45,Proposal,2024-06-30,Karen Adams
CON-00137,Elizabeth Jordan,deborahpatton@example.net,1171329991740,"Barnes, Flores and Phillips",South,361471.56,Proposal,2025-02-01,Chase Gallagher
CON-00138,Michele Powell,,0721758004686,Boyd Inc,APAC,389456.7,CLOSED WON,2025-12-15,Terry Galvan
CON-00139,Daniel Wise,timothy61@example.com,6802941143662,Fletcher-Bernard,North,376522.81,Proposal,2025-02-06,Kristin Pierce
CON-00140,Jason Rivera,amy46@example.net,8512192084703,Smith PLC,APAC,31905.64,Closed Lost,2025-12-09,Laura Fowler
CON-00141,Timothy Morgan,salazarjohn@example.net,1215308331038,Gonzalez and Sons,South,10711.83,Prospect,2025-02-23,David Sanchez
CON-00142,Kelly Martin,gilbertjeffrey@example.com,3848428440474,Hill Ltd,North,39248.12,Closed Lost,2024-06-27,Kristine Griffin
CON-00143,Gabriel Garcia,alexandra19@example.net,1385532670578,"Moore, Montoya and Dennis",West,84018.89,Proposal,2025-07-11,Timothy Williams MD
CON-00144,Samuel Thompson,curtisjessica@example.org,5335888903911,Nelson-Ortega,West,46075.29,closed won,2024-10-17,Alicia Haynes
CON-00145,Amanda Perez,hmorales@example.org,2289827010131,Spencer Inc,North,286566.82,Closed Lost,2025-07-21,John Owens
CON-00146,Pamela Thomas,patrick86@example.net,0280576853222,Stanley Inc,South,167945.81,Proposal,2025-08-02,Joshua Gray
CON-00147,Jeremy Escobar,alison56@example.net,3434661115895,Davis and Sons,South,6135.66,Proposal,2024-09-17,Shawn Andrews
CON-00148,Elizabeth Perez,alex91@example.net,8032437814222,Stanley Ltd,North,426710.72,Closed Won,2024-11-17,John Gordon
CON-00149,Susan Fox,qallen@example.org,0586838441217,Ortega-Barron,North,497978.22,Proposal,2024-06-03,Valerie Jackson
CON-00150,Samantha Ayala,smithjohn@example.net,6017334454103,Smith-Farmer,South,56053.51,Proposal,2024-06-05,Danielle Walker
CON-00151,Ashley Holloway,matthew35@example.net,,Allison-Chavez,North,173176.47,Prospect,2025-07-03,Dana Carter
CON-00152,Brittney Avery,cruzjonathan@example.org,4976879297144,Freeman-Miller,South,91013.41,Qualified,2024-07-16,Nicole Livingston
CON-00153,Ronald Benton,john76@example.net,9709602465150,Diaz LLC,South,384004.72,Closed Lost,2024-11-18,Kyle Adkins
CON-00154,Diana Larsen,lopezandrea@example.org,5506827815627,"Harris, Diaz and Mitchell",South,54155.78,Proposal,2025-02-07,Alicia Morrow
CON-00155,Sara Collins,ryanann@example.net,3362780559217,Woodward-Nichols,South,144195.72,Closed Lost,2024-04-30,Daniel Mcgrath
CON-00156,Andrew Terrell,michelle96@example.net,7703698446567,Hess-Mosley,North,318904.81,Closed Won,2026-01-09,Paul Bray
CON-00157,Christina Cervantes,oscar97@example.com,8722769191917,Lara-Miranda,South,5576.31,Qualified,2024-08-23,Sherry Henry
CON-00158,Megan Snyder,jasonjohnson@example.com,4316352068845,Montes Group,South,217457.39,Qualified,2026-04-01,Emily Evans
CON-00159,Sergio Smith,adamskara@example.com,8051106296868,"Gay, Taylor and Valentine",East,117857.99,Closed Won,2025-08-21,Christopher Rodgers
CON-00160,Thomas Petersen,brandon22@example.net,3818161664341,"Alvarez, Montoya and Rodriguez",South,64370.52,Prospect,2024-09-11,William Moore
CON-00161,Christopher Bush,scott05@example.com,7291738131462,"Warren, Taylor and Walker",APAC,23478.59,Proposal,2025-10-29,
CON-00162,Jessica Lopez,jessica44@example.org,8619537532409,Dunn LLC,South,70209.69,Proposal,2025-07-13,Justin Phillips
CON-00163,Julia Martinez,tlara@example.com,7144063058519,Meyer-Evans,East,134142.0,Proposal,2026-04-08,Shirley Murray
CON-00164,Darren Williams,jessica66@example.net,6914012965818,Gonzalez-Carlson,East,465136.08,Closed Lost,2025-12-04,Angela Cox
CON-00165,Jose Duran,bernardrandy@example.org,2551883853279,Davis-Fields,North,423033.38,Closed Lost,2025-01-05,Jill Reeves
CON-00166,Hannah Donovan,ljacobs@example.com,7625462108157,Walter and Sons,South,393563.78,Prospect,2025-08-14,Brian Hill
CON-00167,Ann Diaz,kelleyveronica@example.net,4897423222100,Baker Inc,APAC,345140.42,Proposal,2025-10-30,Steve Nelson
CON-00168,Crystal Fisher,leslie47@example.com,6624064514358,"Quinn, Jenkins and Thomas",West,494653.53,Closed Won,2025-02-21,Kevin Miller
CON-00169,Donald Taylor,cynthiaanthony@example.net,,Fitzgerald-Nicholson,East,85266.68,Qualified,2025-06-13,Gerald Carlson
CON-00170,Emily Garza,holdendiane@example.org,1330408894675,Ryan-Ford,East,378322.28,Qualified,2025-11-02,Sarah Silva
CON-00171,Francisco Gardner,parktracey@example.org,3759913584852,King-Jackson,North,290838.13,Qualified,2025-09-22,David Reynolds
CON-00172,Jeffrey Black,sarah42@example.net,3860298963779,Orr-Elliott,East,-370844.57,Closed Won,2025-03-10,Diane Coleman
CON-00173,Vincent Perez,sarahhodge@example.org,8876126882417,Montgomery-Waters,East,472464.93,CLOSED WON,2024-11-16,
CON-00174,Robin Williams,keithhaynes@example.com,3944655459326,Robinson Ltd,South,294358.31,Prospect,2025-05-22,Scott Castaneda
CON-00175,Margaret Ruiz,robert97@example.org,9839087430238,"Tucker, Brock and Williams",North,182157.04,Qualified,2025-09-27,Carl Greene
CON-00176,Elizabeth Matthews,ylove@example.org,4997636303850,Reynolds Group,West,375076.28,CLOSED WON,2024-09-21,Victor Wyatt
CON-00177,Gilbert Barnes,vgarcia@example.com,3303546807277,Green Group,North,231151.08,closed won,2025-07-17,Jennifer Anderson
CON-00178,Steven Cook,kiara33@example.com,9723039316495,Smith PLC,West,432271.27,Closed Lost,2025-06-25,Connor Hinton
CON-00179,Melissa Martin,,7611869249307,Smith-Arroyo,South,382056.79,Closed Lost,2024-05-22,Tina Sawyer
CON-00180,Nathaniel Adams,yjackson@example.com,4985864507183,"Underwood, Wang and Reyes",West,231996.78,Closed Lost,2025-11-05,Desiree Rowland
CON-00181,Ashley Miles,caleb79@example.net,9867983426972,Chandler and Sons,East,445423.6,Qualified,2025-07-23,Monica Campbell
CON-00182,Kelly Hall,vasquezmelissa@example.org,0752660321075,Hernandez-Duncan,West,380783.62,Closed Lost,2024-12-23,Benjamin Bell
CON-00183,Margaret Sheppard,taylorjohnson@example.net,,Swanson LLC,West,348784.73,Proposal,2024-07-19,Natalie Wilson
CON-00184,Samuel Moore,scasey@example.org,8932927946640,Sweeney-Flores,East,288387.58,Qualified,2025-07-02,Mark Parker
CON-00185,Danielle Williams,millerkaren@example.com,4739557810371,"Rodriguez, Brown and Walker",APAC,371148.81,Closed Won,2024-05-16,Shannon Johnson
CON-00186,Brandon Jackson,jessicawalter@example.org,9775043737990,Price Group,West,306738.63,closed won,2026-03-25,Nicholas Mercer
CON-00187,Gabriel Mills,naguirre@example.com,9495193736840,Gutierrez Group,APAC,436957.21,Proposal,2024-08-04,Marissa Thomas
CON-00188,Angela Odonnell,david23@example.org,6513280478673,Crosby-Cortez,West,371364.59,Prospect,2025-05-28,Carrie Morris
CON-00189,Cole Fowler,daniellewilliams@example.com,4063295419852,Sanders-Chan,North,26629.75,Prospect,2025-06-18,Pamela White
CON-00190,Amy Norman,fowlernicholas@example.org,4739808444093,Thompson-Stafford,South,201821.56,Prospect,2024-11-13,Derek Bell
CON-00191,Amanda Thornton,cmoses@example.net,8178504441235,"Watts, Duran and Cox",South,287930.33,Qualified,2024-12-17,Jenny Hughes
CON-00192,Adam Young,prestonbruce@example.com,4454460528366,Tapia-Stevenson,APAC,440250.53,Proposal,2025-01-06,Monique Carter
CON-00193,Amanda Lee,christopherhartman@example.com,7507488544105,"Taylor, Anderson and Sanchez",West,361057.84,Proposal,2026-04-20,Wendy Hendrix
CON-00194,Zachary Smith,jilliancowan@example.com,4559592639953,"Goodman, Perez and Stanton",East,212280.23,Closed Won,2025-12-13,Nicole Barton
CON-00195,James Young,john34@example.org,,Sullivan Group,East,283801.75,Closed Won,2024-12-08,Elizabeth Whitney
CON-00196,Tamara Ibarra,jensenmatthew@example.org,0114025010616,"Hayes, Moses and Hancock",South,446394.74,Closed Lost,2024-09-27,Debra Walker
CON-00197,Cory Chapman,anne73@example.org,9406063085819,"Cunningham, Valencia and Krueger",South,371284.34,Proposal,2025-02-04,Caitlin Jackson
CON-00198,Amber Flores,bensonsamantha@example.org,,Stanton and Sons,East,438462.68,Closed Lost,2024-11-14,Mark Cooper
CON-00199,Mrs. Heidi Rich,margaretsimon@example.org,6224819303867,Wells Ltd,South,351435.14,Closed Won,2024-08-08,Emily Stone
CON-00200,Carol Brown,aliaaron@example.com,2746966280111,"Rasmussen, Drake and Woods",West,439848.9,Qualified,2024-10-29,Marvin Allen
CON-00201,Travis Richardson PhD,dunnjennifer@example.net,1378237123924,Taylor-Lopez,East,201071.42,Prospect,2025-08-03,Monica Pineda
CON-00202,Amanda Jones,williamsann@example.org,7211329083543,Hardin-Rivera,North,330721.98,Closed Won,2025-04-20,Johnny Norton
CON-00203,Michael Fletcher,khamilton@example.net,6197128521645,Jordan-Stout,South,243078.04,closed won,2025-06-22,Thomas Castillo
CON-00204,Erin Mcgrath,oscarsmith@example.org,9163898147660,"Griffin, Roach and Schroeder",East,173836.1,Closed Won,2026-01-04,Betty Ballard
